Mien,Part of Speech,English,French,Thai,,Lao,,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example,Usage,Origin,Audio
aapv,verb,to urge,inciter,เร่งเร้า,เร่งเร้า,เรັ່ງເລົ້າ,x,thúc giục,催促/主张,cuī cù/zhǔ zhāng,ceoi1 cuk1/zyu2 zoeng1,,,,,,,,,,aapv.wav
aapv jaax,verb,to urge each other,s'inciter mutuellement,กระตุ้นซึ่งกันและกัน,กระตุ้นซึ่ง,ກະຕຸ້ນ,x,thúc giục nhau,互相督促,hù xiāng dū cù,wu6 soeng1 duk1 cuk1,,,,,,,,,,aapv_jaax.wav
aaux,verb,to twist,tordre,บิด,บิด,ບິດ,x,xoắn,扭/拧,niǔ/níng,nau2/ning2,,,,,,,,,,aaux.wav
atv,verb,to withhold,refuser de donner,ระงับไว้/ไม่ให้,ระงับ,ລະງັບ,x,giữ lại/không cho,扣留/拒给,kòu liú/jù gěi,kau3 lau4/keoi5 kap1,,,,,,,,,,atv.wav
baengc-ngaaiz,noun,debilitating illness,maladie débilitante,โรคที่ทำให้ร่างกายอ่อนแอ,โรคที่ทำให,ພະຍາດທີ່ເຮັດໃຫ້,x,bệnh suy nhược,虚脱性疾病,xūtuō xìng jíbìng,heoi1 tyut3 sing3 zat6 beng6,,,,,,,,,,baengc_ngaaiz.wav
bakv,verb,to whack,frapper,หวด/ตี,หวด/ตี,ຟາດ/ຕີ,x,đánh mạnh,重击,zhòng jī,zung6 gik1,,,,,,,,,,
bei,verb,to understand,comprendre,เข้าใจ,เข้าใจ,ເຂົ້າໃຈ,x,hiểu,明白/理解,míng bai/lǐ jiě,ming4 baak6/lei5 gaai2,,,,,,,,,,
beu,verb,to wrap,envelopper,ห่อ,ห่อ,ຫໍ່,x,gói,包裹/缠绕,bāo guǒ/chán rào,baau1 gwo2/cin4 jiu5,,,,,,,,,,
biec,verb,to whet,aiguiser,ลับมีด,ลับมีด,ລັບພ້າ,x,mài,磨/磨快,mó/mó kuài,mo4/mo4 faai3,,,,,,,,,,
bieqc hnyouv,verb,to understand,comprendre,เข้าใจ,เข้าใจ,ເຂົ້າໃຈ,x,hiểu,明白/理解,míng bai/lǐ jiě,ming4 baak6/lei5 gaai2,,,,,,,,,,
bungx dang,verb,to turn on light,allumer la lumière,เปิดไฟ,เปิดไฟ,ເປີດໄຟ,x,bật đèn,开灯,kāi dēng,hoi1 dang1,,,,,,,,,,
bungx zieqc,verb,to turn on,allumer,เปิด,เปิด,ເປີດ,x,bật,开启,kāi qǐ,hoi1 kai2,,,,,,,,,,
bungz douz,verb,to turn on electric appliance,allumer un appareil électrique,เปิดเครื่องใช้ไฟฟ้า,เปิดเครื่อง,ເປີດເຄື່ອງ,x,bật thiết bị điện,打开电器,dǎ kāi diàn qì,daa2 hoi1 din6 hei3,,,,,,,,,,
bungz douz,verb,to turn on the electricity,allumer l'électricité,เปิดไฟฟ้า,เปิดไฟฟ้า,ເປີດໄຟຟ້າ,x,bật điện,通电,tōng diàn,tung1 din6,,,,,,,,,,
buoqc-zaangc,verb,to worship,adorer,บูชา,บูชา,ບູຊາ,x,thờ phụng,崇拜/祭拜,chóng bài/jì bài,sung4 baai3/zai3 baai3,,,,,,,,,,
butv-hornh,verb,to tremble,trembler,สั่นสะท้าน,สั่นสะท้าน,ສັ່ນສະທ້ານ,x,run rẩy,发抖,fā dǒu,faat3 dau2,,,,,,,,,,
ciex nqoi,verb,to evade,éluder,หลีกเลี่ยง,หลีกเลี่ยง,ຫຼີກລ່ຽງ,x,trốn tránh,避,bì,bei6,,,,,,,,,,
daanv,verb,to worship,adorer,บูชา,บูชา,ບູຊາ,x,thờ phụng,崇拜/祭拜,chóng bài/jì bài,sung4 baai3/zai3 baai3,,,,,,,,,,
daaux,verb,to turn around,se retourner,กลับตัว,กลับตัว,ກັບຕົວ,x,quay lại,转身,zhuǎn shēn,zyun2 san1,,,,,,,,,,
daev,verb,decoy,leurre,ตัวล่อ,ตัวล่อ,ຕົວລໍ້,x,mồi nhử,诱饵,yòu'ěr,jau5 ji5,,,,,,,,,,
daic,adjective,deceased,décédé,ผู้เสียชีวิต,ผู้เสียชีวิต,ຜູ້ເສຍຊີວິດ,x,người đã khuất,已故,yǐgù,ji5 gu3,,,,,,,,,,
daic,noun,death,mort,ความตาย,ความตาย,ຄວາມຕາຍ,x,cái chết,死亡,sǐwáng,sei2 mong4,,,,,,,,,,
dingx,verb,to attach to,attacher à,ติดกับ,ติดกับ,ຕິດກັບ,x,gắn vào,附著於,fùzhuó yú,fu6 zoek6 jyu1,,,,,,,,,,
diu,verb,to whittle,tailler (bois),เหลา,เหลา,ເຫຼົາ,x,gọt,削,xiāo,soek3,,,,,,,,,,
doix-hmien,adverb,face to face,face à face,เผชิญหน้า,เผชิญหน้า,ປະເຊີນໜ້າ,x,đối mặt,面对面,miàn duì miàn,min6 deoi3 min6,,,,,,,,,,
domh-nauz,noun,kinship term for wife's older brother or male cousins,terme de parenté (beau-frère aîné),คำเรียกญาติพี่ชายของภรรยา,คำเรียกพี่ชาย,ຄຳເອີ້ນອ້າຍ,x,thuật ngữ thân tộc (anh vợ),妻兄,qī xiōng,ci1 hing1,,,,,,,,,,
dongv,verb,to try to understand the meaning of something in written document,tenter de comprendre le sens de,พยายามทำความเข้าใจความหมาย,พยายามท,ພະຍາຍາມ,x,cố gắng hiểu ý nghĩa,试图理解其含义,shì tú lǐ jiě qí hán yì,si3 tou4 lei5 gaai2 kei4 haam4 ji6,,,,,,,,,Chinese,
dorngx,noun,location,lieu,สถานที่,สถานที่,ສະຖານທີ່,x,địa điểm,地点,dìdiǎn,dei6 dim2,,,,,,,,,,
dorngx-daauh,noun,location,lieu,สถานที่,สถานที่,ສະຖານທີ່,x,địa điểm,地点,dìdiǎn,dei6 dim4,,,,,,,,,,
douz-fing,noun,spark,étincelle,ประกายไฟ,ประกายไฟ,ປະກາຍໄຟ,x,tia lửa,火花,huǒhuā,fo2 faa1,,,,,,,,,,
faeqv,verb,to whip,fouetter,เฆี่ยน,เขียน,ຂຽນ,x,quất bằng roi,鞭打,biān dǎ,bin1 daa2,,,,,,,,,,
fangv,verb,to try to recall,essayer de se souvenir,พยายามระลึกถึง,พยายามระ,ພະຍາຍາມລະ,x,cố gắng nhớ lại,试图回想,shì tú huí xiǎng,si3 tou4 wui4 soeng2,,,,,,,,Literary,,
fapv,verb,to tuck into,border,ยัดเข้า,ยัดเข้า,ຍັດເຂົ້າ,x,sơ vin/nhét vào,塞进,sāi jìn,coi3 zeon3,,,,,,,,,,
